longitude,latitude,weather_id,weather_main,weather_description,weather_icon,temperature,pressure,humidity,wind_speed,wind_degree,clouds_all,datetime,sunrise,sunset
-6.25,53.36,803,Clouds,broken clouds,04d,276.58,1006,93,1.92,,75,2020-03-04 09:40:04,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,803,Clouds,broken clouds,04d,276.58,1006,93,1.92,,75,2020-03-04 09:40:04,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,803,Clouds,broken clouds,04d,279.22,1006,75,2.1,,75,2020-03-04 10:33:34,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,280.36,1005,65,2.1,,40,2020-03-04 14:50:31,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,280.36,1005,65,2.1,,40,2020-03-04 14:52:02,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,280.36,1005,65,2.1,,40,2020-03-04 14:52:36,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,280.36,1005,65,2.1,,40,2020-03-04 14:50:31,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,280.36,1005,65,2.1,,40,2020-03-04 14:52:02,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,280.36,1005,65,2.1,,40,2020-03-04 14:52:36,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,280.36,1005,65,2.1,,40,2020-03-04 14:52:02,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,280.45,1005,65,2.1,,40,2020-03-04 15:05:01,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,280.32,1005,65,2.1,,40,2020-03-04 15:10:01,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,280.32,1005,65,2.1,,40,2020-03-04 15:10:01,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,279.69,1005,70,3.1,,40,2020-03-04 15:20:02,2020-03-04 07:05:02,2020-03-04 18:08:34
-6.25,53.36,802,Clouds,scattered clouds,03d,279.69,1005,70,3.1,,40,2020-03-04 15:20:02,2020-03-04 07:05:02,2020-03-04 18:08:34
